 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/10/2007 16:29:06                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


702 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000465 0x019DF748 0x0000001C 0x019DF738 0x0000003C 0x00000000 new         N       N    OgreRoot.cpp(130) ???
000744 0x019DF7B8 0x00000010 0x019DF7A8 0x00000030 0x00000000 new         N       N    ??(0) ??
000777 0x019DF7F0 0x0000000C 0x019DF7E0 0x0000002C 0x00000000 new         N       N    OgreFreeImageCodec.cpp(93) ???
000473 0x019DF828 0x0000000D 0x019DF818 0x0000002D 0x00000000 new         N       N    ??(0) ??
000491 0x019DF860 0x0000000C 0x019DF850 0x0000002C 0x00000000 new         N       N    ??(0) ??
000464 0x019DF8A0 0x00000018 0x019DF890 0x00000038 0x00000000 new         N       N    ??(0) ??
000474 0x019DF8E0 0x00000018 0x019DF8D0 0x00000038 0x00000000 new         N       N    ??(0) ??
000480 0x019DF920 0x00000018 0x019DF910 0x00000038 0x00000000 new         N       N    ??(0) ??
000486 0x019DF960 0x00000018 0x019DF950 0x00000038 0x00000000 new         N       N    ??(0) ??
000462 0x019DF9A0 0x0000001C 0x019DF990 0x0000003C 0x00000000 new         N       N    OgreRoot.cpp(125) ???
000461 0x019DF9E8 0x0000001E 0x019DF9D8 0x0000003E 0x00000000 new         N       N    ??(0) ??
000463 0x019DFA30 0x00000110 0x019DFA20 0x00000130 0x00000000 new         N       N    OgreLogManager.cpp(68) ???
000567 0x019DFB68 0x0000002D 0x019DFB58 0x0000004D 0x00000000 new         N       N    ??(0) ??
000471 0x019DFBC0 0x00000068 0x019DFBB0 0x00000088 0x00000000 new         N       N    OgreResourceGroupManager.cpp(95) ???
000477 0x019DFC50 0x00000068 0x019DFC40 0x00000088 0x00000000 new         N       N    OgreResourceGroupManager.cpp(95) ???
000483 0x019DFCE0 0x00000068 0x019DFCD0 0x00000088 0x00000000 new         N       N    OgreResourceGroupManager.cpp(95) ???
000487 0x019DFD70 0x00000038 0x019DFD60 0x00000058 0x00000000 new         N       N    OgreRoot.cpp(138) ???
000492 0x019DFDD0 0x00000026 0x019DFDC0 0x00000046 0x00000000 new         N       N    ??(0) ??
000493 0x019DFE20 0x00000004 0x019DFE10 0x00000024 0x00000000 new         N       N    ??(0) ??
001759 0x019DFE50 0x00000040 0x019DFE40 0x00000060 0x00000000 new         N       N    ??(0) ??
000688 0x019DFEB8 0x00000050 0x019DFEA8 0x00000070 0x00000000 new         N       N    OgreRoot.cpp(153) ???
000497 0x019DFF30 0x00000020 0x019DFF20 0x00000040 0x00000000 new         N       N    OgreRoot.cpp(144) ???
000498 0x019DFF78 0x00000094 0x019DFF68 0x000000B4 0x00000000 new         N       N    OgreRoot.cpp(147) ???
000499 0x019E0038 0x00000304 0x019E0028 0x00000324 0x00000000 new         N       N    ??(0) ??
000502 0x019E0368 0x00000164 0x019E0358 0x00000184 0x00000000 new         N       N    OgreMaterialManager.cpp(76) ???
000503 0x019E04F8 0x0000000D 0x019E04E8 0x0000002D 0x00000000 new         N       N    ??(0) ??
000504 0x019E0530 0x0000000D 0x019E0520 0x0000002D 0x00000000 new         N       N    ??(0) ??
000505 0x019E0568 0x0000000D 0x019E0558 0x0000002D 0x00000000 new         N       N    ??(0) ??
000506 0x019E05A0 0x0000000D 0x019E0590 0x0000002D 0x00000000 new         N       N    ??(0) ??
000507 0x019E05D8 0x00000015 0x019E05C8 0x00000035 0x00000000 new         N       N    ??(0) ??
000508 0x019E0618 0x00000018 0x019E0608 0x00000038 0x00000000 new         N       N    ??(0) ??
000509 0x019E0658 0x0000001B 0x019E0648 0x0000003B 0x00000000 new         N       N    ??(0) ??
000510 0x019E06A0 0x00000018 0x019E0690 0x00000038 0x00000000 new         N       N    ??(0) ??
000511 0x019E06E0 0x0000001D 0x019E06D0 0x0000003D 0x00000000 new         N       N    ??(0) ??
000512 0x019E0728 0x00000018 0x019E0718 0x00000038 0x00000000 new         N       N    ??(0) ??
000513 0x019E0768 0x0000001A 0x019E0758 0x0000003A 0x00000000 new         N       N    ??(0) ??
000514 0x019E07B0 0x00000018 0x019E07A0 0x00000038 0x00000000 new         N       N    ??(0) ??
000515 0x019E07F0 0x0000001C 0x019E07E0 0x0000003C 0x00000000 new         N       N    ??(0) ??
000516 0x019E0838 0x00000018 0x019E0828 0x00000038 0x00000000 new         N       N    ??(0) ??
000517 0x019E0878 0x00000027 0x019E0868 0x00000047 0x00000000 new         N       N    ??(0) ??
000518 0x019E08C8 0x00000018 0x019E08B8 0x00000038 0x00000000 new         N       N    ??(0) ??
000519 0x019E0908 0x00000016 0x019E08F8 0x00000036 0x00000000 new         N       N    ??(0) ??
000520 0x019E0948 0x00000018 0x019E0938 0x00000038 0x00000000 new         N       N    ??(0) ??
000521 0x019E0988 0x0000001E 0x019E0978 0x0000003E 0x00000000 new         N       N    ??(0) ??
000522 0x019E09D0 0x00000018 0x019E09C0 0x00000038 0x00000000 new         N       N    ??(0) ??
000523 0x019E0A10 0x00000016 0x019E0A00 0x00000036 0x00000000 new         N       N    ??(0) ??
000524 0x019E0A50 0x00000018 0x019E0A40 0x00000038 0x00000000 new         N       N    ??(0) ??
000525 0x019E0A90 0x00000013 0x019E0A80 0x00000033 0x00000000 new         N       N    ??(0) ??
000526 0x019E0AD0 0x00000018 0x019E0AC0 0x00000038 0x00000000 new         N       N    ??(0) ??
000527 0x019E0B10 0x00000011 0x019E0B00 0x00000031 0x00000000 new         N       N    ??(0) ??
000528 0x019E0B50 0x00000018 0x019E0B40 0x00000038 0x00000000 new         N       N    ??(0) ??
000529 0x019E0B90 0x00000014 0x019E0B80 0x00000034 0x00000000 new         N       N    ??(0) ??
000530 0x019E0BD0 0x00000018 0x019E0BC0 0x00000038 0x00000000 new         N       N    ??(0) ??
000531 0x019E0C10 0x00000014 0x019E0C00 0x00000034 0x00000000 new         N       N    ??(0) ??
000532 0x019E0C50 0x00000018 0x019E0C40 0x00000038 0x00000000 new         N       N    ??(0) ??
000533 0x019E0C90 0x00000015 0x019E0C80 0x00000035 0x00000000 new         N       N    ??(0) ??
000534 0x019E0CD0 0x00000018 0x019E0CC0 0x00000038 0x00000000 new         N       N    ??(0) ??
000535 0x019E0D10 0x00000015 0x019E0D00 0x00000035 0x00000000 new         N       N    ??(0) ??
000536 0x019E0D50 0x00000018 0x019E0D40 0x00000038 0x00000000 new         N       N    ??(0) ??
000537 0x019E0D90 0x00000018 0x019E0D80 0x00000038 0x00000000 new         N       N    ??(0) ??
000538 0x019E0DD0 0x00000018 0x019E0DC0 0x00000038 0x00000000 new         N       N    ??(0) ??
000539 0x019E0E10 0x00000018 0x019E0E00 0x00000038 0x00000000 new         N       N    ??(0) ??
000540 0x019E0E50 0x00000018 0x019E0E40 0x00000038 0x00000000 new         N       N    ??(0) ??
000541 0x019E0E90 0x00000018 0x019E0E80 0x00000038 0x00000000 new         N       N    ??(0) ??
000542 0x019E0ED0 0x00000018 0x019E0EC0 0x00000038 0x00000000 new         N       N    ??(0) ??
000543 0x019E0F10 0x00000017 0x019E0F00 0x00000037 0x00000000 new         N       N    ??(0) ??
000544 0x019E0F50 0x00000018 0x019E0F40 0x00000038 0x00000000 new         N       N    ??(0) ??
000545 0x019E0F90 0x0000001C 0x019E0F80 0x0000003C 0x00000000 new         N       N    ??(0) ??
000546 0x019E0FD8 0x00000018 0x019E0FC8 0x00000038 0x00000000 new         N       N    ??(0) ??
000547 0x019E1018 0x00000019 0x019E1008 0x00000039 0x00000000 new         N       N    ??(0) ??
000548 0x019E1060 0x00000018 0x019E1050 0x00000038 0x00000000 new         N       N    ??(0) ??
000549 0x019E10A0 0x0000001A 0x019E1090 0x0000003A 0x00000000 new         N       N    ??(0) ??
000550 0x019E10E8 0x00000018 0x019E10D8 0x00000038 0x00000000 new         N       N    ??(0) ??
000551 0x019E1128 0x0000001A 0x019E1118 0x0000003A 0x00000000 new         N       N    ??(0) ??
000552 0x019E1170 0x00000018 0x019E1160 0x00000038 0x00000000 new         N       N    ??(0) ??
000553 0x019E11B0 0x00000015 0x019E11A0 0x00000035 0x00000000 new         N       N    ??(0) ??
000554 0x019E11F0 0x00000018 0x019E11E0 0x00000038 0x00000000 new         N       N    ??(0) ??
000555 0x019E1230 0x00000019 0x019E1220 0x00000039 0x00000000 new         N       N    ??(0) ??
000556 0x019E1278 0x00000018 0x019E1268 0x00000038 0x00000000 new         N       N    ??(0) ??
000557 0x019E12B8 0x00000014 0x019E12A8 0x00000034 0x00000000 new         N       N    ??(0) ??
000558 0x019E12F8 0x00000018 0x019E12E8 0x00000038 0x00000000 new         N       N    ??(0) ??
000559 0x019E1338 0x00000019 0x019E1328 0x00000039 0x00000000 new         N       N    ??(0) ??
000560 0x019E1380 0x00000018 0x019E1370 0x00000038 0x00000000 new         N       N    ??(0) ??
000561 0x019E13C0 0x00000017 0x019E13B0 0x00000037 0x00000000 new         N       N    ??(0) ??
000562 0x019E1400 0x00000018 0x019E13F0 0x00000038 0x00000000 new         N       N    ??(0) ??
000563 0x019E1440 0x00000019 0x019E1430 0x00000039 0x00000000 new         N       N    ??(0) ??
000564 0x019E1488 0x00000018 0x019E1478 0x00000038 0x00000000 new         N       N    ??(0) ??
000565 0x019E14C8 0x0000001F 0x019E14B8 0x0000003F 0x00000000 new         N       N    ??(0) ??
000566 0x019E1510 0x00000018 0x019E1500 0x00000038 0x00000000 new         N       N    ??(0) ??
000568 0x019E1550 0x00000018 0x019E1540 0x00000038 0x00000000 new         N       N    ??(0) ??
000569 0x019E1590 0x0000002F 0x019E1580 0x0000004F 0x00000000 new         N       N    ??(0) ??
000570 0x019E15E8 0x00000018 0x019E15D8 0x00000038 0x00000000 new         N       N    ??(0) ??
000571 0x019E1628 0x00000031 0x019E1618 0x00000051 0x00000000 new         N       N    ??(0) ??
000572 0x019E1688 0x00000018 0x019E1678 0x00000038 0x00000000 new         N       N    ??(0) ??
000573 0x019E16C8 0x00000021 0x019E16B8 0x00000041 0x00000000 new         N       N    ??(0) ??
000574 0x019E1718 0x00000018 0x019E1708 0x00000038 0x00000000 new         N       N    ??(0) ??
000575 0x019E1758 0x00000017 0x019E1748 0x00000037 0x00000000 new         N       N    ??(0) ??
000576 0x019E1798 0x00000018 0x019E1788 0x00000038 0x00000000 new         N       N    ??(0) ??
000577 0x019E17D8 0x00000018 0x019E17C8 0x00000038 0x00000000 new         N       N    ??(0) ??
000578 0x019E1818 0x00000018 0x019E1808 0x00000038 0x00000000 new         N       N    ??(0) ??
000579 0x019E1858 0x00000016 0x019E1848 0x00000036 0x00000000 new         N       N    ??(0) ??
000580 0x019E1898 0x00000018 0x019E1888 0x00000038 0x00000000 new         N       N    ??(0) ??
000581 0x019E18D8 0x00000017 0x019E18C8 0x00000037 0x00000000 new         N       N    ??(0) ??
000582 0x019E1918 0x00000018 0x019E1908 0x00000038 0x00000000 new         N       N    ??(0) ??
000583 0x019E1958 0x0000001A 0x019E1948 0x0000003A 0x00000000 new         N       N    ??(0) ??
000584 0x019E19A0 0x00000018 0x019E1990 0x00000038 0x00000000 new         N       N    ??(0) ??
000585 0x019E19E0 0x00000023 0x019E19D0 0x00000043 0x00000000 new         N       N    ??(0) ??
000586 0x019E1A30 0x00000018 0x019E1A20 0x00000038 0x00000000 new         N       N    ??(0) ??
000587 0x019E1A70 0x0000001B 0x019E1A60 0x0000003B 0x00000000 new         N       N    ??(0) ??
000588 0x019E1AB8 0x00000018 0x019E1AA8 0x00000038 0x00000000 new         N       N    ??(0) ??
000589 0x019E1AF8 0x0000001B 0x019E1AE8 0x0000003B 0x00000000 new         N       N    ??(0) ??
000590 0x019E1B40 0x00000018 0x019E1B30 0x00000038 0x00000000 new         N       N    ??(0) ??
000591 0x019E1B80 0x0000001B 0x019E1B70 0x0000003B 0x00000000 new         N       N    ??(0) ??
000592 0x019E1BC8 0x00000018 0x019E1BB8 0x00000038 0x00000000 new         N       N    ??(0) ??
000593 0x019E1C08 0x00000014 0x019E1BF8 0x00000034 0x00000000 new         N       N    ??(0) ??
