 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/24/2007 13:33:50                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


1354 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000523 0x01A10C30 0x00000018 0x01A10C20 0x00000038 0x00000000 new         N       N    ??(0) ??
000524 0x01A10C70 0x00000016 0x01A10C60 0x00000036 0x00000000 new         N       N    ??(0) ??
000525 0x01A10CB0 0x00000018 0x01A10CA0 0x00000038 0x00000000 new         N       N    ??(0) ??
000526 0x01A10CF0 0x00000013 0x01A10CE0 0x00000033 0x00000000 new         N       N    ??(0) ??
000527 0x01A10D30 0x00000018 0x01A10D20 0x00000038 0x00000000 new         N       N    ??(0) ??
000528 0x01A10D70 0x00000011 0x01A10D60 0x00000031 0x00000000 new         N       N    ??(0) ??
000529 0x01A10DB0 0x00000018 0x01A10DA0 0x00000038 0x00000000 new         N       N    ??(0) ??
000530 0x01A10DF0 0x00000014 0x01A10DE0 0x00000034 0x00000000 new         N       N    ??(0) ??
000531 0x01A10E30 0x00000018 0x01A10E20 0x00000038 0x00000000 new         N       N    ??(0) ??
000532 0x01A10E70 0x00000014 0x01A10E60 0x00000034 0x00000000 new         N       N    ??(0) ??
000533 0x01A10EB0 0x00000018 0x01A10EA0 0x00000038 0x00000000 new         N       N    ??(0) ??
000534 0x01A10EF0 0x00000015 0x01A10EE0 0x00000035 0x00000000 new         N       N    ??(0) ??
000535 0x01A10F30 0x00000018 0x01A10F20 0x00000038 0x00000000 new         N       N    ??(0) ??
000536 0x01A10F70 0x00000015 0x01A10F60 0x00000035 0x00000000 new         N       N    ??(0) ??
000537 0x01A10FB0 0x00000018 0x01A10FA0 0x00000038 0x00000000 new         N       N    ??(0) ??
000538 0x01A10FF0 0x00000018 0x01A10FE0 0x00000038 0x00000000 new         N       N    ??(0) ??
000539 0x01A11030 0x00000018 0x01A11020 0x00000038 0x00000000 new         N       N    ??(0) ??
000540 0x01A11070 0x00000018 0x01A11060 0x00000038 0x00000000 new         N       N    ??(0) ??
000541 0x01A110B0 0x00000018 0x01A110A0 0x00000038 0x00000000 new         N       N    ??(0) ??
000542 0x01A110F0 0x00000018 0x01A110E0 0x00000038 0x00000000 new         N       N    ??(0) ??
000543 0x01A11130 0x00000018 0x01A11120 0x00000038 0x00000000 new         N       N    ??(0) ??
000544 0x01A11170 0x00000017 0x01A11160 0x00000037 0x00000000 new         N       N    ??(0) ??
000545 0x01A111B0 0x00000018 0x01A111A0 0x00000038 0x00000000 new         N       N    ??(0) ??
000546 0x01A111F0 0x0000001C 0x01A111E0 0x0000003C 0x00000000 new         N       N    ??(0) ??
000547 0x01A11238 0x00000018 0x01A11228 0x00000038 0x00000000 new         N       N    ??(0) ??
000548 0x01A11278 0x00000019 0x01A11268 0x00000039 0x00000000 new         N       N    ??(0) ??
000549 0x01A112C0 0x00000018 0x01A112B0 0x00000038 0x00000000 new         N       N    ??(0) ??
000550 0x01A11300 0x0000001A 0x01A112F0 0x0000003A 0x00000000 new         N       N    ??(0) ??
000551 0x01A11348 0x00000018 0x01A11338 0x00000038 0x00000000 new         N       N    ??(0) ??
000552 0x01A11388 0x0000001A 0x01A11378 0x0000003A 0x00000000 new         N       N    ??(0) ??
000553 0x01A113D0 0x00000018 0x01A113C0 0x00000038 0x00000000 new         N       N    ??(0) ??
000554 0x01A11410 0x00000015 0x01A11400 0x00000035 0x00000000 new         N       N    ??(0) ??
000555 0x01A11450 0x00000018 0x01A11440 0x00000038 0x00000000 new         N       N    ??(0) ??
000556 0x01A11490 0x00000019 0x01A11480 0x00000039 0x00000000 new         N       N    ??(0) ??
000557 0x01A114D8 0x00000018 0x01A114C8 0x00000038 0x00000000 new         N       N    ??(0) ??
000558 0x01A11518 0x00000014 0x01A11508 0x00000034 0x00000000 new         N       N    ??(0) ??
000559 0x01A11558 0x00000018 0x01A11548 0x00000038 0x00000000 new         N       N    ??(0) ??
000560 0x01A11598 0x00000019 0x01A11588 0x00000039 0x00000000 new         N       N    ??(0) ??
000561 0x01A115E0 0x00000018 0x01A115D0 0x00000038 0x00000000 new         N       N    ??(0) ??
000562 0x01A11620 0x00000017 0x01A11610 0x00000037 0x00000000 new         N       N    ??(0) ??
000563 0x01A11660 0x00000018 0x01A11650 0x00000038 0x00000000 new         N       N    ??(0) ??
000564 0x01A116A0 0x00000019 0x01A11690 0x00000039 0x00000000 new         N       N    ??(0) ??
000565 0x01A116E8 0x00000018 0x01A116D8 0x00000038 0x00000000 new         N       N    ??(0) ??
000566 0x01A11728 0x0000001F 0x01A11718 0x0000003F 0x00000000 new         N       N    ??(0) ??
000567 0x01A11770 0x00000018 0x01A11760 0x00000038 0x00000000 new         N       N    ??(0) ??
000569 0x01A117B0 0x00000018 0x01A117A0 0x00000038 0x00000000 new         N       N    ??(0) ??
000570 0x01A117F0 0x0000002F 0x01A117E0 0x0000004F 0x00000000 new         N       N    ??(0) ??
000571 0x01A11848 0x00000018 0x01A11838 0x00000038 0x00000000 new         N       N    ??(0) ??
000572 0x01A11888 0x00000031 0x01A11878 0x00000051 0x00000000 new         N       N    ??(0) ??
000573 0x01A118E8 0x00000018 0x01A118D8 0x00000038 0x00000000 new         N       N    ??(0) ??
000574 0x01A11928 0x00000021 0x01A11918 0x00000041 0x00000000 new         N       N    ??(0) ??
000575 0x01A11978 0x00000018 0x01A11968 0x00000038 0x00000000 new         N       N    ??(0) ??
000576 0x01A119B8 0x00000017 0x01A119A8 0x00000037 0x00000000 new         N       N    ??(0) ??
000577 0x01A119F8 0x00000018 0x01A119E8 0x00000038 0x00000000 new         N       N    ??(0) ??
000578 0x01A11A38 0x00000018 0x01A11A28 0x00000038 0x00000000 new         N       N    ??(0) ??
000579 0x01A11A78 0x00000018 0x01A11A68 0x00000038 0x00000000 new         N       N    ??(0) ??
000580 0x01A11AB8 0x00000016 0x01A11AA8 0x00000036 0x00000000 new         N       N    ??(0) ??
000581 0x01A11AF8 0x00000018 0x01A11AE8 0x00000038 0x00000000 new         N       N    ??(0) ??
000582 0x01A11B38 0x00000017 0x01A11B28 0x00000037 0x00000000 new         N       N    ??(0) ??
000583 0x01A11B78 0x00000018 0x01A11B68 0x00000038 0x00000000 new         N       N    ??(0) ??
000584 0x01A11BB8 0x0000001A 0x01A11BA8 0x0000003A 0x00000000 new         N       N    ??(0) ??
000585 0x01A11C00 0x00000018 0x01A11BF0 0x00000038 0x00000000 new         N       N    ??(0) ??
000586 0x01A11C40 0x00000023 0x01A11C30 0x00000043 0x00000000 new         N       N    ??(0) ??
000587 0x01A11C90 0x00000018 0x01A11C80 0x00000038 0x00000000 new         N       N    ??(0) ??
000588 0x01A11CD0 0x0000001B 0x01A11CC0 0x0000003B 0x00000000 new         N       N    ??(0) ??
000589 0x01A11D18 0x00000018 0x01A11D08 0x00000038 0x00000000 new         N       N    ??(0) ??
000590 0x01A11D58 0x0000001B 0x01A11D48 0x0000003B 0x00000000 new         N       N    ??(0) ??
000591 0x01A11DA0 0x00000018 0x01A11D90 0x00000038 0x00000000 new         N       N    ??(0) ??
000592 0x01A11DE0 0x0000001B 0x01A11DD0 0x0000003B 0x00000000 new         N       N    ??(0) ??
000593 0x01A11E28 0x00000018 0x01A11E18 0x00000038 0x00000000 new         N       N    ??(0) ??
000594 0x01A11E68 0x00000014 0x01A11E58 0x00000034 0x00000000 new         N       N    ??(0) ??
000595 0x01A11EA8 0x00000018 0x01A11E98 0x00000038 0x00000000 new         N       N    ??(0) ??
000596 0x01A11EE8 0x00000019 0x01A11ED8 0x00000039 0x00000000 new         N       N    ??(0) ??
000597 0x01A11F30 0x00000018 0x01A11F20 0x00000038 0x00000000 new         N       N    ??(0) ??
000598 0x01A11F70 0x0000001A 0x01A11F60 0x0000003A 0x00000000 new         N       N    ??(0) ??
000599 0x01A11FB8 0x00000018 0x01A11FA8 0x00000038 0x00000000 new         N       N    ??(0) ??
000600 0x01A11FF8 0x00000019 0x01A11FE8 0x00000039 0x00000000 new         N       N    ??(0) ??
000601 0x01A12040 0x00000018 0x01A12030 0x00000038 0x00000000 new         N       N    ??(0) ??
000602 0x01A12080 0x0000001A 0x01A12070 0x0000003A 0x00000000 new         N       N    ??(0) ??
000603 0x01A120C8 0x00000018 0x01A120B8 0x00000038 0x00000000 new         N       N    ??(0) ??
000604 0x01A12108 0x0000001D 0x01A120F8 0x0000003D 0x00000000 new         N       N    ??(0) ??
000605 0x01A12150 0x00000018 0x01A12140 0x00000038 0x00000000 new         N       N    ??(0) ??
000606 0x01A12190 0x0000001E 0x01A12180 0x0000003E 0x00000000 new         N       N    ??(0) ??
000607 0x01A121D8 0x00000018 0x01A121C8 0x00000038 0x00000000 new         N       N    ??(0) ??
000608 0x01A12218 0x00000016 0x01A12208 0x00000036 0x00000000 new         N       N    ??(0) ??
000609 0x01A12258 0x00000018 0x01A12248 0x00000038 0x00000000 new         N       N    ??(0) ??
000610 0x01A12298 0x00000019 0x01A12288 0x00000039 0x00000000 new         N       N    ??(0) ??
000611 0x01A122E0 0x00000018 0x01A122D0 0x00000038 0x00000000 new         N       N    ??(0) ??
